"Chap","Prot","DB","evidence","weight"
"HSPA9","MFN2","local","coexpression",1
"HSPA9","CHCHD4","local","coexpression",1
"HSPA9","NDUFAB1","local","coexpression",1
"HSPA9","COQ2","local","coexpression",1
"HSPA9","PDSS2","local","coexpression",1
"HSPA9","EHHADH","local","coexpression",1
"HSPA9","NDUFS3","local","coexpression",1
"HSPA9","ABCB10","local","coexpression",1
"HSPA9","MRPS25","local","coexpression",1
"HSPA9","FAM210A","local","coexpression",1
"HSPA9","CPT1A","local","coexpression",1
"HSPA9","GK","local","coexpression",1
"HSPA9","DHRS4","local","coexpression",1
"HSPA9","PRELID2","local","coexpression",1
"HSPA9","NIPSNAP2","local","coexpression",1
"HSPA9","GLRX2","local","coexpression",1
"HSPA9","MRPS30","local","coexpression",1
"HSPA9","NARS2","local","coexpression",1
"HSPA9","RIDA","local","coexpression",1
"HSPA9","SPR","local","coexpression",1
"HSPA9","ZADH2","local","coexpression",1
"HSPA9","MRPL18","local","coexpression",1
"HSPA9","ALDH1B1","local","coexpression",1
"HSPA9","TIMM8A","local","coexpression",1
"HSPA9","VDAC3","local","coexpression",1
"HSPA9","SLC25A24","local","coexpression",1
"HSPA9","MPC1","local","coexpression",1
"HSPA9","SLC25A22","local","coexpression",1
"HSPA9","TRNT1","local","coexpression",1
"HSPA9","IDE","local","coexpression",1
"HSPA9","TRIAP1","local","coexpression",1
"HSPA9","PTCD3","local","coexpression",1
"HSPA9","COX10","local","coexpression",1
"HSPA9","AKAP1","local","coexpression",1
"HSPA9","AK2","local","coexpression",1
"HSPA9","TMEM70","local","coexpression",1
"HSPA9","NOA1","local","coexpression",1
"HSPA9","MCUR1","local","coexpression",1
"HSPA9","MRPL35","local","coexpression",1
"HSPA9","PDSS1","local","coexpression",1
"HSPA9","SLC25A16","local","coexpression",1
"HSPA9","ACSM3","local","coexpression",1
"HSPA9","NDUFAF6","local","coexpression",1
"HSPA9","SFXN1","local","coexpression",1
"HSPA9","GLRX5","local","coexpression",1
