"node1","node2","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"HSPA9","CMC2",0,0,0,0,0,0,0,0,0,0,0,1
"HSPA9","SDHAF1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS17",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ADHFE1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","NFS1",1,0,0,1,1,0,0,0,1,1,0,0
"HSPA9","NDUFAF5",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL17",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TACO1",0,0,0,1,0,0,0,1,0,1,0,0
"HSPA9","MFN1",0,0,0,0,0,0,0,0,1,1,1,1
"HSPA9","PPTC7",0,0,1,1,1,0,0,0,0,0,1,1
"HSPA9","MRPL11",0,0,0,0,0,0,0,0,0,0,0,1
"HSPA9","COX4I1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","NDUFS6",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL13",1,0,0,0,1,0,0,0,0,1,0,1
"HSPA9","OXCT1",0,0,0,1,1,0,0,0,1,0,1,1
"HSPA9","COX5B",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","PDK2",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","ALAS1",0,1,0,1,1,0,0,0,0,1,0,1
"HSPA9","MRPL33",0,0,0,0,0,0,0,0,0,0,0,1
"HSPA9","MTO1",0,1,0,0,1,0,0,0,0,1,1,1
"HSPA9","LIAS",0,1,0,0,0,0,0,0,0,1,0,1
"HSPA9","NDUFA5",0,0,0,1,0,0,0,0,0,0,1,0
"HSPA9","NDUFB6",0,0,0,0,0,0,0,0,0,0,0,1
"HSPA9","MTX2",0,1,0,1,1,0,0,0,1,1,0,1
"HSPA9","SUCLG2",0,1,0,1,1,0,0,0,1,0,1,1
"HSPA9","FDX1",0,0,0,1,1,0,0,0,0,1,0,1
"HSPA9","SLC25A1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS28",0,0,0,0,1,0,0,0,1,1,0,1
"HSPA9","TIMM50",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","VDAC2",0,1,0,1,1,0,1,0,0,0,1,1
"HSPA9","SLC25A42",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TOMM7",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ECH1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","GATB",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","BCS1L",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","ERAL1",0,0,0,0,0,0,0,0,0,0,0,1
