"num_removed","cancer","prop_remain","prop_removed","run_name","under_curve","y_txt"
11,"LIHC",0.202702702702703,0.733333333333333,"high_to_low",0.68351001011436,0.28
12,"LIHC",0.136363636363636,0.8,"high_to_low",0.68351001011436,0.28
13,"LIHC",0.0749385749385749,0.866666666666667,"high_to_low",0.68351001011436,0.28
14,"LIHC",0.0282555282555282,0.933333333333333,"high_to_low",0.68351001011436,0.28
15,"LIHC",0,1,"high_to_low",0.68351001011436,0.28
0,"LUAD",1,0,"high_to_low",0.656748640885474,0.28
1,"LUAD",0.957878315132605,0.0666666666666667,"high_to_low",0.656748640885474,0.28
2,"LUAD",0.890795631825273,0.133333333333333,"high_to_low",0.656748640885474,0.28
3,"LUAD",0.850234009360374,0.2,"high_to_low",0.656748640885474,0.28
4,"LUAD",0.770670826833073,0.266666666666667,"high_to_low",0.656748640885474,0.28
5,"LUAD",0.606864274570983,0.333333333333333,"high_to_low",0.656748640885474,0.28
6,"LUAD",0.497659906396256,0.4,"high_to_low",0.656748640885474,0.28
7,"LUAD",0.458658346333853,0.466666666666667,"high_to_low",0.656748640885474,0.28
8,"LUAD",0.383775351014041,0.533333333333333,"high_to_low",0.656748640885474,0.28
9,"LUAD",0.34789391575663,0.6,"high_to_low",0.656748640885474,0.28
10,"LUAD",0.263650546021841,0.666666666666667,"high_to_low",0.656748640885474,0.28
11,"LUAD",0.210608424336973,0.733333333333333,"high_to_low",0.656748640885474,0.28
12,"LUAD",0.146645865834633,0.8,"high_to_low",0.656748640885474,0.28
13,"LUAD",0.0889235569422777,0.866666666666667,"high_to_low",0.656748640885474,0.28
14,"LUAD",0.0436817472698908,0.933333333333333,"high_to_low",0.656748640885474,0.28
15,"LUAD",0,1,"high_to_low",0.656748640885474,0.28
0,"LUSC",1,0,"high_to_low",0.654697856617986,0.28
1,"LUSC",0.926573426573427,0.0666666666666667,"high_to_low",0.654697856617986,0.28
2,"LUSC",0.828671328671329,0.133333333333333,"high_to_low",0.654697856617986,0.28
3,"LUSC",0.783216783216783,0.2,"high_to_low",0.654697856617986,0.28
4,"LUSC",0.70979020979021,0.266666666666667,"high_to_low",0.654697856617986,0.28
5,"LUSC",0.648601398601399,0.333333333333333,"high_to_low",0.654697856617986,0.28
6,"LUSC",0.608391608391608,0.4,"high_to_low",0.654697856617986,0.28
7,"LUSC",0.536713286713287,0.466666666666667,"high_to_low",0.654697856617986,0.28
8,"LUSC",0.451048951048951,0.533333333333333,"high_to_low",0.654697856617986,0.28
9,"LUSC",0.40034965034965,0.6,"high_to_low",0.654697856617986,0.28
10,"LUSC",0.326923076923077,0.666666666666667,"high_to_low",0.654697856617986,0.28
11,"LUSC",0.229020979020979,0.733333333333333,"high_to_low",0.654697856617986,0.28
12,"LUSC",0.13986013986014,0.8,"high_to_low",0.654697856617986,0.28
13,"LUSC",0.0472027972027972,0.866666666666667,"high_to_low",0.654697856617986,0.28
14,"LUSC",0.013986013986014,0.933333333333333,"high_to_low",0.654697856617986,0.28
15,"LUSC",0,1,"high_to_low",0.654697856617986,0.28
0,"PRAD",1,0,"high_to_low",0.709244805385052,0.28
1,"PRAD",0.983529411764706,0.0666666666666667,"high_to_low",0.709244805385052,0.28
2,"PRAD",0.964705882352941,0.133333333333333,"high_to_low",0.709244805385052,0.28
3,"PRAD",0.914117647058823,0.2,"high_to_low",0.709244805385052,0.28
4,"PRAD",0.871764705882353,0.266666666666667,"high_to_low",0.709244805385052,0.28
5,"PRAD",0.861176470588235,0.333333333333333,"high_to_low",0.709244805385052,0.28
6,"PRAD",0.716470588235294,0.4,"high_to_low",0.709244805385052,0.28
7,"PRAD",0.672941176470588,0.466666666666667,"high_to_low",0.709244805385052,0.28
8,"PRAD",0.671764705882353,0.533333333333333,"high_to_low",0.709244805385052,0.28
9,"PRAD",0.62,0.6,"high_to_low",0.709244805385052,0.28
10,"PRAD",0.561176470588235,0.666666666666667,"high_to_low",0.709244805385052,0.28
11,"PRAD",0.514117647058824,0.733333333333333,"high_to_low",0.709244805385052,0.28
12,"PRAD",0.390588235294118,0.8,"high_to_low",0.709244805385052,0.28
13,"PRAD",0.328235294117647,0.866666666666667,"high_to_low",0.709244805385052,0.28
14,"PRAD",0.142352941176471,0.933333333333333,"high_to_low",0.709244805385052,0.28
15,"PRAD",0,1,"high_to_low",0.709244805385052,0.28
0,"STAD",1,0,"high_to_low",0.733083152315587,0.28
1,"STAD",0.981794538361508,0.0666666666666667,"high_to_low",0.733083152315587,0.28
2,"STAD",0.957087126137841,0.133333333333333,"high_to_low",0.733083152315587,0.28
3,"STAD",0.940182054616385,0.2,"high_to_low",0.733083152315587,0.28
4,"STAD",0.931079323797139,0.266666666666667,"high_to_low",0.733083152315587,0.28
5,"STAD",0.876462938881664,0.333333333333333,"high_to_low",0.733083152315587,0.28
6,"STAD",0.834850455136541,0.4,"high_to_low",0.733083152315587,0.28
7,"STAD",0.728218465539662,0.466666666666667,"high_to_low",0.733083152315587,0.28
8,"STAD",0.680104031209363,0.533333333333333,"high_to_low",0.733083152315587,0.28
9,"STAD",0.602080624187256,0.6,"high_to_low",0.733083152315587,0.28
10,"STAD",0.552665799739922,0.666666666666667,"high_to_low",0.733083152315587,0.28
11,"STAD",0.466840052015605,0.733333333333333,"high_to_low",0.733083152315587,0.28
12,"STAD",0.309492847854356,0.8,"high_to_low",0.733083152315587,0.28
