cancer,under_curve,run_type,sim,chap_removed
PRAD,0.6199464724004236,random,2,SPG7->DNAJC19->HSPA9->CLPP->HSPD1->TRAP1->CLPX->HSCB->LONP1->GRPEL2->AFG3L2->YME1L1->HTRA2->HSPE1->DNAJA3
STAD,0.5873144239578327,random,2,SPG7->DNAJC19->HSCB->LONP1->CLPP->HSPD1->HTRA2->AFG3L2->DNAJA3->HSPA9->YME1L1->GRPEL2->HSPE1->CLPX->TRAP1
THCA,0.6938124428378798,random,2,SPG7->DNAJA3->CLPX->AFG3L2->CLPP->TRAP1->YME1L1->HSPA9->HSPE1->HSCB->DNAJC19->HTRA2->HSPD1->GRPEL2->LONP1
UCEC,0.5950306913814647,random,2,DNAJA3->HSPE1->CLPX->HSPD1->HSCB->HTRA2->LONP1->SPG7->HSPA9->TRAP1->YME1L1->GRPEL2->CLPP->DNAJC19->AFG3L2
BRCA,0.5660113156258991,random,3,AFG3L2->CLPP->LONP1->HSPA9->CLPX->HSCB->DNAJA3->HTRA2->SPG7->HSPE1->GRPEL2->DNAJC19->TRAP1->YME1L1->HSPD1
COAD,0.6259018369397198,random,3,DNAJC19->HSPE1->HTRA2->LONP1->GRPEL2->YME1L1->HSPA9->AFG3L2->HSCB->TRAP1->CLPX->DNAJA3->CLPP->HSPD1->SPG7
HNSC,0.6196694457432097,random,3,SPG7->HSPE1->LONP1->HSCB->GRPEL2->TRAP1->CLPP->HSPA9->DNAJC19->HTRA2->DNAJA3->CLPX->YME1L1->HSPD1->AFG3L2
KIRC,0.6633144315004408,random,3,LONP1->HSPE1->HSPA9->GRPEL2->HSPD1->CLPP->DNAJA3->CLPX->AFG3L2->YME1L1->TRAP1->HTRA2->HSCB->DNAJC19->SPG7
KIRP,0.7303777905824648,random,3,HSPD1->LONP1->DNAJA3->YME1L1->HSPA9->CLPX->GRPEL2->DNAJC19->CLPP->HSPE1->SPG7->HSCB->TRAP1->AFG3L2->HTRA2
LIHC,0.6117236186361158,random,3,AFG3L2->LONP1->DNAJC19->HSCB->GRPEL2->TRAP1->YME1L1->CLPP->CLPX->HTRA2->SPG7->DNAJA3->HSPA9->HSPE1->HSPD1
LUAD,0.568190485504767,random,3,DNAJA3->HSPD1->TRAP1->DNAJC19->HSCB->YME1L1->AFG3L2->GRPEL2->LONP1->SPG7->HTRA2->HSPA9->CLPX->HSPE1->CLPP
LUSC,0.566110812747036,random,3,CLPP->DNAJA3->HTRA2->HSPD1->TRAP1->HSPA9->HSPE1->SPG7->YME1L1->CLPX->DNAJC19->HSCB->GRPEL2->LONP1->AFG3L2
PRAD,0.6097295759621377,random,3,GRPEL2->SPG7->YME1L1->HTRA2->HSPA9->HSPE1->DNAJC19->DNAJA3->HSPD1->LONP1->TRAP1->CLPP->AFG3L2->HSCB->CLPX
STAD,0.5954456006471497,random,3,GRPEL2->YME1L1->LONP1->HTRA2->SPG7->HSPD1->AFG3L2->CLPX->HSPE1->DNAJC19->TRAP1->HSCB->CLPP->HSPA9->DNAJA3
THCA,0.6942116857617304,random,3,CLPX->HSPE1->HTRA2->DNAJA3->LONP1->CLPP->YME1L1->HSCB->DNAJC19->SPG7->HSPD1->HSPA9->AFG3L2->TRAP1->GRPEL2
UCEC,0.5955539068863601,random,3,HSCB->TRAP1->CLPP->HSPE1->LONP1->YME1L1->HSPD1->CLPX->SPG7->HSPA9->DNAJA3->GRPEL2->AFG3L2->HTRA2->DNAJC19
BRCA,0.5687700296992222,random,4,TRAP1->AFG3L2->HSCB->DNAJC19->HSPD1->HTRA2->CLPX->LONP1->HSPE1->GRPEL2->DNAJA3->CLPP->SPG7->YME1L1->HSPA9
COAD,0.6319436574794021,random,4,TRAP1->GRPEL2->HTRA2->YME1L1->HSPA9->HSPD1->CLPX->HSCB->HSPE1->LONP1->CLPP->SPG7->AFG3L2->DNAJA3->DNAJC19
HNSC,0.6115162266626036,random,4,CLPP->DNAJA3->HSPD1->CLPX->TRAP1->LONP1->DNAJC19->SPG7->HTRA2->HSPA9->GRPEL2->HSPE1->AFG3L2->HSCB->YME1L1
KIRC,0.6650482222431362,random,4,HSPD1->HSPE1->HSPA9->CLPX->AFG3L2->GRPEL2->TRAP1->HSCB->LONP1->DNAJC19->CLPP->SPG7->DNAJA3->HTRA2->YME1L1
KIRP,0.7217560515585906,random,4,DNAJC19->CLPX->HSPE1->AFG3L2->HSPD1->HSCB->SPG7->TRAP1->HSPA9->YME1L1->DNAJA3->HTRA2->GRPEL2->CLPP->LONP1
LIHC,0.6073129645671412,random,4,TRAP1->AFG3L2->HSCB->SPG7->CLPX->GRPEL2->YME1L1->LONP1->DNAJA3->HSPD1->DNAJC19->CLPP->HSPE1->HSPA9->HTRA2
LUAD,0.5627844339266427,random,4,SPG7->DNAJC19->YME1L1->HSPE1->CLPP->GRPEL2->AFG3L2->LONP1->HTRA2->HSPD1->DNAJA3->HSPA9->CLPX->TRAP1->HSCB
LUSC,0.552020817003768,random,4,TRAP1->AFG3L2->DNAJA3->HSPD1->HSCB->SPG7->CLPP->YME1L1->LONP1->GRPEL2->HTRA2->DNAJC19->CLPX->HSPA9->HSPE1
PRAD,0.6217854238461162,random,4,HSCB->HSPA9->LONP1->CLPP->GRPEL2->DNAJC19->HSPD1->HSPE1->DNAJA3->YME1L1->CLPX->AFG3L2->SPG7->TRAP1->HTRA2
