"Var1","Var2","value","cancer"
"HSPD1","SPG7",0.0437445319335083,"HNSC"
"TRAP1","SPG7",0.0288713910761155,"HNSC"
"HTRA2","LONP1",0.117235345581802,"HNSC"
"CLPP","LONP1",0.179352580927384,"HNSC"
"HSCB","LONP1",0.183727034120735,"HNSC"
"HSPE1","LONP1",0.182852143482065,"HNSC"
"DNAJC19","LONP1",0.174978127734033,"HNSC"
"YME1L1","LONP1",0,"HNSC"
"HSPA9","LONP1",0.0113735783027122,"HNSC"
"AFG3L2","LONP1",0.0122484689413823,"HNSC"
"DNAJA3","LONP1",0.0341207349081365,"HNSC"
"HSPD1","LONP1",0.0743657042869641,"HNSC"
"TRAP1","LONP1",0.0454943132108486,"HNSC"
"CLPP","HTRA2",0.181102362204724,"HNSC"
"HSCB","HTRA2",0.216972878390201,"HNSC"
"HSPE1","HTRA2",0.242344706911636,"HNSC"
"DNAJC19","HTRA2",0.239720034995626,"HNSC"
"YME1L1","HTRA2",0.00437445319335083,"HNSC"
"HSPA9","HTRA2",0.0341207349081365,"HNSC"
"AFG3L2","HTRA2",0.0437445319335083,"HNSC"
"DNAJA3","HTRA2",0.0971128608923885,"HNSC"
"HSPD1","HTRA2",0.141732283464567,"HNSC"
"TRAP1","HTRA2",0.0918635170603675,"HNSC"
"HSCB","CLPP",0.295713035870516,"HNSC"
"HSPE1","CLPP",0.301837270341207,"HNSC"
"DNAJC19","CLPP",0.270341207349081,"HNSC"
"YME1L1","CLPP",0.00174978127734033,"HNSC"
"HSPA9","CLPP",0.0236220472440945,"HNSC"
"AFG3L2","CLPP",0.0174978127734033,"HNSC"
"DNAJA3","CLPP",0.0507436570428696,"HNSC"
"HSPD1","CLPP",0.110236220472441,"HNSC"
"TRAP1","CLPP",0.0594925634295713,"HNSC"
"HSPE1","HSCB",0.338582677165354,"HNSC"
"DNAJC19","HSCB",0.329833770778653,"HNSC"
"YME1L1","HSCB",0.000874890638670166,"HNSC"
"HSPA9","HSCB",0.0271216097987752,"HNSC"
"AFG3L2","HSCB",0.0227471566054243,"HNSC"
"DNAJA3","HSCB",0.0726159230096238,"HNSC"
"HSPD1","HSCB",0.121609798775153,"HNSC"
"TRAP1","HSCB",0.0708661417322835,"HNSC"
"DNAJC19","HSPE1",0.353455818022747,"HNSC"
"YME1L1","HSPE1",0.00437445319335083,"HNSC"
"HSPA9","HSPE1",0.0454943132108486,"HNSC"
"AFG3L2","HSPE1",0.0481189851268591,"HNSC"
"DNAJA3","HSPE1",0.10586176727909,"HNSC"
"HSPD1","HSPE1",0.171478565179353,"HNSC"
"TRAP1","HSPE1",0.108486439195101,"HNSC"
"YME1L1","DNAJC19",0.0148731408573928,"HNSC"
"HSPA9","DNAJC19",0.0638670166229221,"HNSC"
"AFG3L2","DNAJC19",0.0656167979002625,"HNSC"
"DNAJA3","DNAJC19",0.125109361329834,"HNSC"
"HSPD1","DNAJC19",0.170603674540682,"HNSC"
"TRAP1","DNAJC19",0.124234470691164,"HNSC"
"HSPA9","YME1L1",0.0271216097987752,"HNSC"
"AFG3L2","YME1L1",0.0332458442694663,"HNSC"
"DNAJA3","YME1L1",0.0341207349081365,"HNSC"
"HSPD1","YME1L1",0.0297462817147857,"HNSC"
"TRAP1","YME1L1",0.0358705161854768,"HNSC"
"AFG3L2","HSPA9",0.0673665791776028,"HNSC"
"DNAJA3","HSPA9",0.0778652668416448,"HNSC"
"HSPD1","HSPA9",0.0673665791776028,"HNSC"
"TRAP1","HSPA9",0.0778652668416448,"HNSC"
"DNAJA3","AFG3L2",0.0901137357830271,"HNSC"
"HSPD1","AFG3L2",0.0778652668416448,"HNSC"
"TRAP1","AFG3L2",0.0979877515310586,"HNSC"
"HSPD1","DNAJA3",0.125109361329834,"HNSC"
"TRAP1","DNAJA3",0.134733158355206,"HNSC"
"TRAP1","HSPD1",0.136482939632546,"HNSC"
"GRPEL2","SPG7",0.0271216097987752,"KIRC"
"HSCB","SPG7",0.00349956255468067,"KIRC"
"DNAJC19","SPG7",0.005249343832021,"KIRC"
"LONP1","SPG7",0.0236220472440945,"KIRC"
"HSPE1","SPG7",0.0166229221347332,"KIRC"
"CLPP","SPG7",0.00962379702537183,"KIRC"
"HTRA2","SPG7",0.000874890638670166,"KIRC"
"YME1L1","SPG7",0.000874890638670166,"KIRC"
"CLPX","SPG7",0.00874890638670166,"KIRC"
"AFG3L2","SPG7",0.00349956255468067,"KIRC"
"TRAP1","SPG7",0.0113735783027122,"KIRC"
"DNAJA3","SPG7",0.015748031496063,"KIRC"
"HSPA9","SPG7",0.00174978127734033,"KIRC"
"HSPD1","SPG7",0,"KIRC"
"HSCB","GRPEL2",0,"KIRC"
"DNAJC19","GRPEL2",0.0026246719160105,"KIRC"
"LONP1","GRPEL2",0,"KIRC"
"HSPE1","GRPEL2",0,"KIRC"
"CLPP","GRPEL2",0,"KIRC"
"HTRA2","GRPEL2",0.00174978127734033,"KIRC"
"YME1L1","GRPEL2",0.0174978127734033,"KIRC"
"CLPX","GRPEL2",0.0236220472440945,"KIRC"
"AFG3L2","GRPEL2",0.0183727034120735,"KIRC"
"TRAP1","GRPEL2",0.00699912510936133,"KIRC"
"DNAJA3","GRPEL2",0.00437445319335083,"KIRC"
"HSPA9","GRPEL2",0.00874890638670166,"KIRC"
"HSPD1","GRPEL2",0.00174978127734033,"KIRC"
"DNAJC19","HSCB",0.0139982502187227,"KIRC"
"LONP1","HSCB",0.0131233595800525,"KIRC"
"HSPE1","HSCB",0.0437445319335083,"KIRC"
"CLPP","HSCB",0.062992125984252,"KIRC"
"HTRA2","HSCB",0.010498687664042,"KIRC"
"YME1L1","HSCB",0,"KIRC"
"CLPX","HSCB",0,"KIRC"
"AFG3L2","HSCB",0,"KIRC"
"TRAP1","HSCB",0.00349956255468067,"KIRC"
"DNAJA3","HSCB",0.00349956255468067,"KIRC"
"HSPA9","HSCB",0,"KIRC"
"HSPD1","HSCB",0.00174978127734033,"KIRC"
"LONP1","DNAJC19",0.015748031496063,"KIRC"
"HSPE1","DNAJC19",0.0743657042869641,"KIRC"
"CLPP","DNAJC19",0.041994750656168,"KIRC"
"HTRA2","DNAJC19",0.0078740157480315,"KIRC"
"YME1L1","DNAJC19",0.0139982502187227,"KIRC"
"CLPX","DNAJC19",0.031496062992126,"KIRC"
"AFG3L2","DNAJC19",0.047244094488189,"KIRC"
"TRAP1","DNAJC19",0.05249343832021,"KIRC"
"DNAJA3","DNAJC19",0.0752405949256343,"KIRC"
"HSPA9","DNAJC19",0.0542432195975503,"KIRC"
"HSPD1","DNAJC19",0.05249343832021,"KIRC"
"HSPE1","LONP1",0.0717410323709536,"KIRC"
"CLPP","LONP1",0.062992125984252,"KIRC"
"HTRA2","LONP1",0.000874890638670166,"KIRC"
"YME1L1","LONP1",0,"KIRC"
"CLPX","LONP1",0.00174978127734033,"KIRC"
"AFG3L2","LONP1",0.005249343832021,"KIRC"
"TRAP1","LONP1",0.0139982502187227,"KIRC"
"DNAJA3","LONP1",0.0376202974628171,"KIRC"
"HSPA9","LONP1",0.00699912510936133,"KIRC"
"HSPD1","LONP1",0.00962379702537183,"KIRC"
"CLPP","HSPE1",0.141732283464567,"KIRC"
"HTRA2","HSPE1",0.00174978127734033,"KIRC"
"YME1L1","HSPE1",0,"KIRC"
"CLPX","HSPE1",0.00437445319335083,"KIRC"
"AFG3L2","HSPE1",0.0148731408573928,"KIRC"
"TRAP1","HSPE1",0.0279965004374453,"KIRC"
"DNAJA3","HSPE1",0.0769903762029746,"KIRC"
"HSPA9","HSPE1",0.036745406824147,"KIRC"
"HSPD1","HSPE1",0.0437445319335083,"KIRC"
"HTRA2","CLPP",0.00874890638670166,"KIRC"
"YME1L1","CLPP",0,"KIRC"
"CLPX","CLPP",0,"KIRC"
"AFG3L2","CLPP",0.000874890638670166,"KIRC"
"TRAP1","CLPP",0.0078740157480315,"KIRC"
"DNAJA3","CLPP",0.0297462817147857,"KIRC"
"HSPA9","CLPP",0.00174978127734033,"KIRC"
"HSPD1","CLPP",0.00699912510936133,"KIRC"
"YME1L1","HTRA2",0.0148731408573928,"KIRC"
"CLPX","HTRA2",0.00874890638670166,"KIRC"
"AFG3L2","HTRA2",0.020997375328084,"KIRC"
"TRAP1","HTRA2",0.0236220472440945,"KIRC"
"DNAJA3","HTRA2",0.0131233595800525,"KIRC"
"HSPA9","HTRA2",0.00612423447069116,"KIRC"
"HSPD1","HTRA2",0.0113735783027122,"KIRC"
"CLPX","YME1L1",0.185476815398075,"KIRC"
"AFG3L2","YME1L1",0.172353455818023,"KIRC"
"TRAP1","YME1L1",0.0848643919510061,"KIRC"
"DNAJA3","YME1L1",0.0708661417322835,"KIRC"
"HSPA9","YME1L1",0.128608923884514,"KIRC"
"HSPD1","YME1L1",0.0909886264216973,"KIRC"
"AFG3L2","CLPX",0.206474190726159,"KIRC"
"TRAP1","CLPX",0.111986001749781,"KIRC"
"DNAJA3","CLPX",0.114610673665792,"KIRC"
"HSPA9","CLPX",0.162729658792651,"KIRC"
"HSPD1","CLPX",0.112860892388451,"KIRC"
"TRAP1","AFG3L2",0.161854768153981,"KIRC"
"DNAJA3","AFG3L2",0.139107611548556,"KIRC"
"HSPA9","AFG3L2",0.189851268591426,"KIRC"
"HSPD1","AFG3L2",0.137357830271216,"KIRC"
"DNAJA3","TRAP1",0.139982502187227,"KIRC"
"HSPA9","TRAP1",0.140857392825897,"KIRC"
"HSPD1","TRAP1",0.127734033245844,"KIRC"
"HSPA9","DNAJA3",0.15923009623797,"KIRC"
"HSPD1","DNAJA3",0.146981627296588,"KIRC"
"HSPD1","HSPA9",0.169728783902012,"KIRC"
"AFG3L2","GRPEL2",0.108486439195101,"KIRP"
"DNAJA3","GRPEL2",0.078740157480315,"KIRP"
"TRAP1","GRPEL2",0.0673665791776028,"KIRP"
"HSPA9","GRPEL2",0.10761154855643,"KIRP"
"HSPD1","GRPEL2",0.0901137357830271,"KIRP"
"YME1L1","GRPEL2",0.129483814523185,"KIRP"
"CLPX","GRPEL2",0.119860017497813,"KIRP"
"HTRA2","GRPEL2",0.0166229221347332,"KIRP"
"SPG7","GRPEL2",0.00174978127734033,"KIRP"
"HSCB","GRPEL2",0.00349956255468067,"KIRP"
"DNAJC19","GRPEL2",0.0201224846894138,"KIRP"
"LONP1","GRPEL2",0.010498687664042,"KIRP"
"HSPE1","GRPEL2",0.0174978127734033,"KIRP"
"CLPP","GRPEL2",0.00349956255468067,"KIRP"
"DNAJA3","AFG3L2",0.3167104111986,"KIRP"
"TRAP1","AFG3L2",0.307961504811898,"KIRP"
"HSPA9","AFG3L2",0.294838145231846,"KIRP"
"HSPD1","AFG3L2",0.273840769903762,"KIRP"
"YME1L1","AFG3L2",0.198600174978128,"KIRP"
"CLPX","AFG3L2",0.292213473315836,"KIRP"
"HTRA2","AFG3L2",0.118110236220472,"KIRP"
"SPG7","AFG3L2",0.05249343832021,"KIRP"
"HSCB","AFG3L2",0.00699912510936133,"KIRP"
"DNAJC19","AFG3L2",0.0656167979002625,"KIRP"
"LONP1","AFG3L2",0.137357830271216,"KIRP"
"HSPE1","AFG3L2",0.10498687664042,"KIRP"
"CLPP","AFG3L2",0.078740157480315,"KIRP"
"TRAP1","DNAJA3",0.335958005249344,"KIRP"
"HSPA9","DNAJA3",0.259842519685039,"KIRP"
"HSPD1","DNAJA3",0.274715660542432,"KIRP"
"YME1L1","DNAJA3",0.160979877515311,"KIRP"
"CLPX","DNAJA3",0.236220472440945,"KIRP"
"HTRA2","DNAJA3",0.125984251968504,"KIRP"
"SPG7","DNAJA3",0.0699912510936133,"KIRP"
"HSCB","DNAJA3",0.0113735783027122,"KIRP"
"DNAJC19","DNAJA3",0.05249343832021,"KIRP"
"LONP1","DNAJA3",0.150481189851269,"KIRP"
"HSPE1","DNAJA3",0.114610673665792,"KIRP"
"CLPP","DNAJA3",0.0883639545056868,"KIRP"
"HSPA9","TRAP1",0.255468066491689,"KIRP"
"HSPD1","TRAP1",0.275590551181102,"KIRP"
"YME1L1","TRAP1",0.145231846019248,"KIRP"
"CLPX","TRAP1",0.220472440944882,"KIRP"
"HTRA2","TRAP1",0.140857392825897,"KIRP"
"SPG7","TRAP1",0.0804899387576553,"KIRP"
"HSCB","TRAP1",0.0166229221347332,"KIRP"
"DNAJC19","TRAP1",0.0516185476815398,"KIRP"
"LONP1","TRAP1",0.16010498687664,"KIRP"
"HSPE1","TRAP1",0.129483814523185,"KIRP"
"CLPP","TRAP1",0.10411198600175,"KIRP"
"HSPD1","HSPA9",0.280839895013123,"KIRP"
"YME1L1","HSPA9",0.179352580927384,"KIRP"
"CLPX","HSPA9",0.246719160104987,"KIRP"
"HTRA2","HSPA9",0.0691163604549431,"KIRP"
"SPG7","HSPA9",0.0131233595800525,"KIRP"
"HSCB","HSPA9",0.00174978127734033,"KIRP"
"DNAJC19","HSPA9",0.0542432195975503,"KIRP"
"LONP1","HSPA9",0.142607174103237,"KIRP"
"HSPE1","HSPA9",0.10411198600175,"KIRP"
"CLPP","HSPA9",0.0752405949256343,"KIRP"
"YME1L1","HSPD1",0.148731408573928,"KIRP"
"CLPX","HSPD1",0.21084864391951,"KIRP"
"HTRA2","HSPD1",0.0971128608923885,"KIRP"
"SPG7","HSPD1",0.0323709536307962,"KIRP"
"HSCB","HSPD1",0.00874890638670166,"KIRP"
"DNAJC19","HSPD1",0.0664916885389326,"KIRP"
"LONP1","HSPD1",0.1583552055993,"KIRP"
"HSPE1","HSPD1",0.142607174103237,"KIRP"
"CLPP","HSPD1",0.100612423447069,"KIRP"
"CLPX","YME1L1",0.223097112860892,"KIRP"
"HTRA2","YME1L1",0.036745406824147,"KIRP"
"SPG7","YME1L1",0.00349956255468067,"KIRP"
"HSCB","YME1L1",0,"KIRP"
"DNAJC19","YME1L1",0.0139982502187227,"KIRP"
"LONP1","YME1L1",0.0358705161854768,"KIRP"
"HSPE1","YME1L1",0.0166229221347332,"KIRP"
"CLPP","YME1L1",0.0026246719160105,"KIRP"
"HTRA2","CLPX",0.0769903762029746,"KIRP"
"SPG7","CLPX",0.0174978127734033,"KIRP"
"HSCB","CLPX",0.00174978127734033,"KIRP"
"DNAJC19","CLPX",0.0376202974628171,"KIRP"
"LONP1","CLPX",0.0813648293963255,"KIRP"
"HSPE1","CLPX",0.0481189851268591,"KIRP"
"CLPP","CLPX",0.0279965004374453,"KIRP"
"SPG7","HTRA2",0.123359580052493,"KIRP"
"HSCB","HTRA2",0.062992125984252,"KIRP"
"DNAJC19","HTRA2",0.0507436570428696,"KIRP"
"LONP1","HTRA2",0.0621172353455818,"KIRP"
"HSPE1","HTRA2",0.100612423447069,"KIRP"
"CLPP","HTRA2",0.0761154855643045,"KIRP"
"HSCB","SPG7",0.139982502187227,"KIRP"
"DNAJC19","SPG7",0.0559930008748906,"KIRP"
