"row","col","similarity","cancer"
"HSPA9","DNAJC19",0.158567774936061,"KIRC"
"HSPD1","DNAJC19",0.171428571428571,"KIRC"
"HSPE1","DNAJC19",0.223684210526316,"KIRC"
"SPG7","DNAJC19",0.0181818181818182,"KIRC"
"CLPP","DNAJC19",0.135593220338983,"KIRC"
"DNAJA3","DNAJC19",0.226315789473684,"KIRC"
"LONP1","DNAJC19",0.0656934306569343,"KIRC"
"TRAP1","DNAJC19",0.16260162601626,"KIRC"
"YME1L1","DNAJC19",0.0393120393120393,"KIRC"
"CLPX","DNAJC19",0.0816326530612245,"KIRC"
"AFG3L2","DNAJC19",0.121076233183857,"KIRC"
"HTRA2","DNAJC19",0.0399999999999999,"KIRC"
"HSPA9","GRPEL2",0.0308641975308642,"KIRC"
"HSPD1","GRPEL2",0.00692041522491349,"KIRC"
"HSPE1","GRPEL2",0,"KIRC"
"SPG7","GRPEL2",0.166666666666667,"KIRC"
"CLPP","GRPEL2",0,"KIRC"
"DNAJA3","GRPEL2",0.0146198830409356,"KIRC"
"LONP1","GRPEL2",0,"KIRC"
"TRAP1","GRPEL2",0.0264900662251655,"KIRC"
"YME1L1","GRPEL2",0.0704225352112676,"KIRC"
"CLPX","GRPEL2",0.081570996978852,"KIRC"
"AFG3L2","GRPEL2",0.0583333333333333,"KIRC"
"HTRA2","GRPEL2",0.0176991150442478,"KIRC"
"DNAJC19","GRPEL2",0.0129310344827587,"KIRC"
"HSPA9","HSCB",0,"KIRC"
"HSPD1","HSCB",0.00621118012422361,"KIRC"
"HSPE1","HSCB",0.151975683890577,"KIRC"
"SPG7","HSCB",0.016260162601626,"KIRC"
"CLPP","HSCB",0.295081967213115,"KIRC"
"DNAJA3","HSCB",0.0106382978723404,"KIRC"
"LONP1","HSCB",0.0785340314136126,"KIRC"
"TRAP1","HSCB",0.0117994100294986,"KIRC"
"YME1L1","HSCB",0,"KIRC"
"CLPX","HSCB",0,"KIRC"
"AFG3L2","HSCB",0,"KIRC"
"HTRA2","HSCB",0.088235294117647,"KIRC"
"DNAJC19","HSCB",0.0634920634920636,"KIRC"
"GRPEL2","HSCB",0,"KIRC"
"HSPA9","HSPD1",0.699346405228758,"KIRP"
"HSPA9","HSPE1",0.1797583081571,"KIRP"
"HSPD1","HSPE1",0.26038338658147,"KIRP"
"HSPA9","SPG7",0.0220913107511045,"KIRP"
"HSPD1","SPG7",0.0556390977443609,"KIRP"
"HSPE1","SPG7",0.183501683501683,"KIRP"
"HSPA9","CLPP",0.130500758725342,"KIRP"
"HSPD1","CLPP",0.18025078369906,"KIRP"
"HSPE1","CLPP",0.625,"KIRP"
"SPG7","CLPP",0.17636684303351,"KIRP"
"HSPA9","DNAJA3",0.58695652173913,"KIRP"
"HSPD1","DNAJA3",0.631790744466801,"KIRP"
"HSPE1","DNAJA3",0.192364170337739,"KIRP"
"SPG7","DNAJA3",0.124031007751938,"KIRP"
"CLPP","DNAJA3",0.14962962962963,"KIRP"
"HSPA9","LONP1",0.305816135084428,"KIRP"
"HSPD1","LONP1",0.346080305927342,"KIRP"
"HSPE1","LONP1",0.421370967741935,"KIRP"
"SPG7","LONP1",0.0976909413854352,"KIRP"
"CLPP","LONP1",0.473568281938326,"KIRP"
"DNAJA3","LONP1",0.30990990990991,"KIRP"
"HSPA9","TRAP1",0.560460652591171,"KIRP"
"HSPD1","TRAP1",0.622529644268775,"KIRP"
"HSPE1","TRAP1",0.219584569732938,"KIRP"
"SPG7","TRAP1",0.143079315707621,"KIRP"
"CLPP","TRAP1",0.178410794602699,"KIRP"
"DNAJA3","TRAP1",0.834782608695652,"KIRP"
"LONP1","TRAP1",0.330324909747292,"KIRP"
"HSPA9","YME1L1",0.437100213219616,"KIRP"
"HSPD1","YME1L1",0.33203125,"KIRP"
"HSPE1","YME1L1",0.0286144578313253,"KIRP"
"SPG7","YME1L1",0.0067567567567568,"KIRP"
"CLPP","YME1L1",0.00465838509316774,"KIRP"
"DNAJA3","YME1L1",0.353166986564299,"KIRP"
"LONP1","YME1L1",0.0736086175942549,"KIRP"
"TRAP1","YME1L1",0.302367941712204,"KIRP"
"HSPA9","CLPX",0.59493670886076,"KIRP"
