"","chaperone1","chaperone2","protein","prot_name","obs_percent","random_percent"
"178","HSPA9","HSPD1","ENSG00000004864","SLC25A13",0.416666666666667,1
"179","HSPA9","HSPD1","ENSG00000082515","MRPL22",0.0833333333333333,1
"180","HSPA9","HSPD1","ENSG00000182054","IDH2",0.0833333333333333,1
"181","HSPA9","HSPD1","ENSG00000105607","GCDH",0.0833333333333333,1
"182","HSPA9","HSPD1","ENSG00000136522","MRPL47",0.25,1
"183","HSPA9","HSPD1","ENSG00000138777","PPA2",0.25,1
"184","HSPA9","HSPD1","ENSG00000143436","MRPL9",0.25,1
"185","HSPA9","HSPD1","ENSG00000116874","WARS2",0.333333333333333,1
"186","HSPA9","HSPD1","ENSG00000125454","SLC25A19",0.333333333333333,1
"187","HSPA9","HSPD1","ENSG00000182180","MRPS16",0.5,1
"188","HSPA9","HSPD1","ENSG00000115159","GPD2",0.25,1
"189","HSPA9","HSPD1","ENSG00000130414","NDUFA10",0.25,1
"190","HSPA9","HSPD1","ENSG00000075336","TIMM21",0.333333333333333,1
"191","HSPA9","HSPD1","ENSG00000115419","GLS",0.25,1
"192","HSPA9","HSPD1","ENSG00000181192","DHTKD1",0.166666666666667,1
"193","HSPA9","HSPD1","ENSG00000144029","MRPS5",0.166666666666667,1
"194","HSPA9","HSPD1","ENSG00000104325","DECR1",0.25,1
"195","HSPA9","HSPD1","ENSG00000102743","SLC25A15",0.416666666666667,1
"196","HSPA9","HSPD1","ENSG00000165283","STOML2",0.333333333333333,1
"197","HSPA9","HSPD1","ENSG00000103642","LACTB",0.25,1
"198","HSPA9","HSPD1","ENSG00000130204","TOMM40",0.166666666666667,1
"199","HSPA9","HSPD1","ENSG00000102763","VWA8",0.166666666666667,1
"200","HSPA9","HSPD1","ENSG00000007923","DNAJC11",0.333333333333333,1
"201","HSPA9","HSPD1","ENSG00000106028","SSBP1",0.166666666666667,1
"202","HSPA9","HSPD1","ENSG00000048544","MRPS10",0.166666666666667,1
"203","HSPA9","HSPD1","ENSG00000162433","AK4",0.0833333333333333,1
"204","HSPA9","HSPD1","ENSG00000197785","ATAD3A",0.0833333333333333,1
"205","HSPA9","HSPD1","ENSG00000116221","MRPL37",0.333333333333333,1
"206","HSPA9","HSPD1","ENSG00000122873","CISD1",0.416666666666667,1
"207","HSPA9","HSPD1","ENSG00000117791","MTARC2",0.0833333333333333,1
"208","HSPA9","HSPD1","ENSG00000243927","MRPS6",0.0833333333333333,1
"209","HSPA9","HSPD1","ENSG00000133028","SCO1",0.333333333333333,1
"210","HSPA9","HSPD1","ENSG00000120254","MTHFD1L",0.333333333333333,1
"211","HSPA9","HSPD1","ENSG00000198721","ECI2",0.166666666666667,1
"212","HSPA9","HSPD1","ENSG00000156467","UQCRB",0.0833333333333333,1
"213","HSPA9","HSPD1","ENSG00000167863","ATP5H",0.0833333333333333,1
"214","HSPA9","HSPD1","ENSG00000167283","ATP5L",0.0833333333333333,1
"215","HSPA9","HSPD1","ENSG00000160124","CCDC58",0.25,1
"216","HSPA9","HSPD1","ENSG00000131844","MCCC2",0.5,1
"217","HSPA9","HSPD1","ENSG00000146085","MUT",0.416666666666667,1
"218","HSPA9","HSPD1","ENSG00000122696","SLC25A51",0.0833333333333333,1
"219","HSPA9","HSPD1","ENSG00000154518","ATP5G3",0.5,1
"220","HSPA9","HSPD1","ENSG00000138138","ATAD1",0.25,1
"221","HSPA9","HSPD1","ENSG00000154814","OXNAD1",0.25,1
"222","HSPA9","HSPD1","ENSG00000117593","DARS2",0.916666666666667,1
"223","HSPA9","HSPD1","ENSG00000111639","MRPL51",0.166666666666667,1
"224","HSPA9","HSPD1","ENSG00000135241","PNPLA8",0.0833333333333333,1
"225","HSPA9","HSPD1","ENSG00000103150","MLYCD",0.0833333333333333,1
"226","HSPA9","HSPD1","ENSG00000106591","MRPL32",0.25,1
"227","HSPA9","HSPD1","ENSG00000250799","PRODH2",0.0833333333333333,1
"228","HSPA9","HSPD1","ENSG00000082212","ME2",0.25,1
"229","HSPA9","HSPD1","ENSG00000178952","TUFM",0.0833333333333333,1
"230","HSPA9","HSPD1","ENSG00000014824","SLC30A9",0.5,1
"231","HSPA9","HSPD1","ENSG00000265354","TIMM23",0.166666666666667,1
"232","HSPA9","HSPD1","ENSG00000155906","RMND1",0.25,1
"233","HSPA9","HSPD1","ENSG00000116688","MFN2",0.166666666666667,1
"234","HSPA9","HSPD1","ENSG00000163528","CHCHD4",0.583333333333333,1
"235","HSPA9","HSPD1","ENSG00000004779","NDUFAB1",0.333333333333333,1
"236","HSPA9","HSPD1","ENSG00000173085","COQ2",0.0833333333333333,1
"237","HSPA9","HSPD1","ENSG00000164494","PDSS2",0.166666666666667,1
"238","HSPA9","HSPD1","ENSG00000113790","EHHADH",0.166666666666667,1
"239","HSPA9","HSPD1","ENSG00000213619","NDUFS3",0.0833333333333333,1
"240","HSPA9","HSPD1","ENSG00000135776","ABCB10",0.333333333333333,1
"241","HSPA9","HSPD1","ENSG00000131368","MRPS25",0.0833333333333333,1
"242","HSPA9","HSPD1","ENSG00000177150","FAM210A",0.416666666666667,1
"243","HSPA9","HSPD1","ENSG00000110090","CPT1A",0.0833333333333333,1
"244","HSPA9","HSPD1","ENSG00000198814","GK",0.166666666666667,1
"245","HSPA9","HSPD1","ENSG00000157326","DHRS4",0.0833333333333333,1
"246","HSPA9","HSPD1","ENSG00000186314","PRELID2",0.25,1
"247","HSPA9","HSPD1","ENSG00000146729","NIPSNAP2",0.166666666666667,1
"248","HSPA9","HSPD1","ENSG00000023572","GLRX2",0.0833333333333333,1
"249","HSPA9","HSPD1","ENSG00000112996","MRPS30",0.666666666666667,1
"250","HSPA9","HSPD1","ENSG00000137513","NARS2",0.5,1
"251","HSPA9","HSPD1","ENSG00000132541","RIDA",0.0833333333333333,1
"252","HSPA9","HSPD1","ENSG00000116096","SPR",0.0833333333333333,1
"253","HSPA9","HSPD1","ENSG00000112110","MRPL18",0.0833333333333333,1
"254","HSPA9","HSPD1","ENSG00000137124","ALDH1B1",0.166666666666667,1
"255","HSPA9","HSPD1","ENSG00000126953","TIMM8A",0.5,1
"256","HSPA9","HSPD1","ENSG00000078668","VDAC3",0.333333333333333,1
"257","HSPA9","HSPD1","ENSG00000085491","SLC25A24",0.0833333333333333,1
"258","HSPA9","HSPD1","ENSG00000177542","SLC25A22",0.0833333333333333,1
"259","HSPA9","HSPD1","ENSG00000072756","TRNT1",0.416666666666667,1
"260","HSPA9","HSPD1","ENSG00000119912","IDE",0.166666666666667,1
"261","HSPA9","HSPD1","ENSG00000170855","TRIAP1",0.25,1
"262","HSPA9","HSPD1","ENSG00000132300","PTCD3",0.25,1
"263","HSPA9","HSPD1","ENSG00000006695","COX10",0.333333333333333,1
"264","HSPA9","HSPD1","ENSG00000121057","AKAP1",0.333333333333333,1
"265","HSPA9","HSPD1","ENSG00000004455","AK2",0.333333333333333,1
"266","HSPA9","HSPD1","ENSG00000175606","TMEM70",0.166666666666667,1
"267","HSPA9","HSPD1","ENSG00000084092","NOA1",0.333333333333333,1
"268","HSPA9","HSPD1","ENSG00000050393","MCUR1",0.333333333333333,1
"269","HSPA9","HSPD1","ENSG00000132313","MRPL35",0.5,1
"270","HSPA9","HSPD1","ENSG00000148459","PDSS1",0.416666666666667,1
"271","HSPA9","HSPD1","ENSG00000122912","SLC25A16",0.0833333333333333,1
"272","HSPA9","HSPD1","ENSG00000005187","ACSM3",0.166666666666667,1
"273","HSPA9","HSPD1","ENSG00000156170","NDUFAF6",0.0833333333333333,1
"274","HSPA9","HSPD1","ENSG00000164466","SFXN1",0.583333333333333,1
"275","HSPA9","HSPD1","ENSG00000182512","GLRX5",0.0833333333333333,1
"276","HSPA9","HSPD1","ENSG00000196236","XPNPEP3",0.0833333333333333,1
"277","HSPA9","HSPD1","ENSG00000196636","SDHAF3",0.166666666666667,1
"278","HSPA9","HSPD1","ENSG00000101166","PRELID3B",0.5,1
"279","HSPA9","HSPD1","ENSG00000119013","NDUFB3",0.333333333333333,1
"280","HSPA9","HSPD1","ENSG00000103356","EARS2",0.666666666666667,1
"281","HSPA9","HSPD1","ENSG00000137106","GRHPR",0.0833333333333333,1
"282","HSPA9","HSPD1","ENSG00000103707","MTFMT",0.333333333333333,1
"283","HSPA9","HSPD1","ENSG00000049883","PTCD2",0.25,1
"284","HSPA9","HSPD1","ENSG00000093144","ECHDC1",0.0833333333333333,1
"285","HSPA9","HSPD1","ENSG00000112855","HARS2",0.416666666666667,1
"286","HSPA9","HSPD1","ENSG00000163382","NAXE",0.0833333333333333,1
"287","HSPA9","HSPD1","ENSG00000133835","HSD17B4",0.25,1
"288","HSPA9","HSPD1","ENSG00000065154","OAT",0.0833333333333333,1
"289","HSPA9","HSPD1","ENSG00000136897","MRPL50",0.333333333333333,1
"290","HSPA9","HSPD1","ENSG00000146282","RARS2",0.0833333333333333,1
"291","HSPA9","HSPD1","ENSG00000147592","LACTB2",0.5,1
"292","HSPA9","HSPD1","ENSG00000182199","SHMT2",0.5,1
"293","HSPA9","HSPD1","ENSG00000065911","MTHFD2",0.583333333333333,1
"294","HSPA9","HSPD1","ENSG00000176623","RMDN1",0.0833333333333333,1
"295","HSPA9","HSPD1","ENSG00000130349","C6ORF203",0.0833333333333333,1
"296","HSPA9","HSPD1","ENSG00000104687","GSR",0.333333333333333,1
"297","HSPA9","HSPD1","ENSG00000172171","TEFM",0.166666666666667,1
"298","HSPA9","HSPD1","ENSG00000167107","ACSF2",0.0833333333333333,1
"299","HSPA9","HSPD1","ENSG00000100416","TRMU",0.0833333333333333,1
"300","HSPA9","HSPD1","ENSG00000175110","MRPS22",0.416666666666667,1
"301","HSPA9","HSPD1","ENSG00000002549","LAP3",0.166666666666667,1
"302","HSPA9","HSPD1","ENSG00000148672","GLUD1",0.0833333333333333,1
"303","HSPA9","HSPD1","ENSG00000090263","MRPS33",0.0833333333333333,1
"304","HSPA9","HSPD1","ENSG00000151413","NUBPL",0.166666666666667,1
"305","HSPA9","HSPD1","ENSG00000083099","LYRM2",0.166666666666667,1
"306","HSPA9","HSPD1","ENSG00000108064","TFAM",0.666666666666667,1
"307","HSPA9","HSPD1","ENSG00000059573","ALDH18A1",0.25,1
"308","HSPA9","HSPD1","ENSG00000151093","OXSM",0.25,1
"309","HSPA9","HSPD1","ENSG00000143374","TARS2",0.25,1
"310","HSPA9","HSPD1","ENSG00000136270","TBRG4",0.0833333333333333,1
"311","HSPA9","HSPD1","ENSG00000164983","TMEM65",0.0833333333333333,1
"312","HSPA9","HSPD1","ENSG00000162972","MAIP1",0.583333333333333,1
"313","HSPA9","HSPD1","ENSG00000181061","HIGD1A",0.0833333333333333,1
"314","HSPA9","HSPD1","ENSG00000174109","C16ORF91",0.0833333333333333,1
"315","HSPA9","HSPD1","ENSG00000164209","SLC25A46",0.0833333333333333,1
"316","HSPA9","HSPD1","ENSG00000240857","RDH14",0.166666666666667,1
"317","HSPA9","HSPD1","ENSG00000167699","GLOD4",0.25,1
"318","HSPA9","HSPD1","ENSG00000258429","PDF",0.0833333333333333,1
"319","HSPA9","HSPD1","ENSG00000123213","NLN",0.833333333333333,1
"320","HSPA9","HSPD1","ENSG00000164904","ALDH7A1",0.166666666666667,1
"321","HSPA9","HSPD1","ENSG00000069998","HDHD5",0.0833333333333333,1
"322","HSPA9","HSPD1","ENSG00000154719","MRPL39",0.25,1
"323","HSPA9","HSPD1","ENSG00000120992","LYPLA1",0.5,1
"324","HSPA9","HSPD1","ENSG00000112031","MTRF1L",0.0833333333333333,1
